"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"04.11.2022","18,5657","18,6175","18,7242","18,4721","","-0,26%"
"03.11.2022","18,6144","18,6290","18,7115","18,5182","","-0,04%"
"02.11.2022","18,6219","18,5833","18,7135","18,4958","","0,30%"
"01.11.2022","18,5657","18,6149","18,7119","18,4783","","-0,14%"
"31.10.2022","18,5920","18,5940","18,7073","18,4976","","0,06%"
"28.10.2022","18,5813","18,6001","18,7077","18,4970","","-0,09%"
"27.10.2022","18,5974","18,6049","18,7110","18,4395","","0,03%"
"26.10.2022","18,5911","18,6050","18,7009","18,4850","","0,01%"
"25.10.2022","18,5895","18,6072","18,6996","18,4795","","-0,08%"
"24.10.2022","18,6036","18,5960","18,6978","18,4720","","0,08%"
"21.10.2022","18,5884","18,5980","18,6933","18,4827","","0,01%"
"20.10.2022","18,5868","18,5907","18,6843","18,4688","","-0,01%"
"19.10.2022","18,5887","18,5879","18,6813","18,4517","","0,05%"
"18.10.2022","18,5794","18,5808","18,6780","18,4631","","0,10%"
"17.10.2022","18,5610","18,5760","18,6721","18,4789","","0,01%"
"14.10.2022","18,5585","18,5540","18,6712","18,4545","","0,20%"
"13.10.2022","18,5218","18,5676","18,6705","18,4543","","-0,19%"
"12.10.2022","18,5571","18,5919","18,6791","18,4592","","-0,16%"
"11.10.2022","18,5875","18,5795","18,7060","18,4784","","0,07%"
"10.10.2022","18,5737","18,5823","18,6870","18,4531","","0,06%"
"07.10.2022","18,5620","18,5756","18,6915","18,4802","","-0,05%"
"06.10.2022","18,5719","18,5694","18,6810","18,4683","","0,07%"
"05.10.2022","18,5595","18,5780","18,6931","18,4636","","-0,04%"
